"","Week.Week","Week.Stage","Week.mean","Week.lci","Week.uci","Stage","mean","lci","uci"
"1",May 02 18,copepodid,0.5613700,0.5574290,0.5686170,"copepodid",0.5613700,0.5574290,0.5686170
"50",Apr 10 19,copepodid,0.4250511,0.4158907,0.4568750,"copepodid",0.4250511,0.4158907,0.4568750
"53",May 01 19,copepodid,0.4965823,0.4930392,0.5063830,"copepodid",0.4965823,0.4930392,0.5063830
"163",May 02 18,chalimus,1.8101398,1.7882090,1.9057751,"chalimus",1.8101398,1.7882090,1.9057751
"212",Apr 10 19,chalimus,0.4172401,0.4065600,0.4217347,"chalimus",0.4172401,0.4065600,0.4217347
"215",May 01 19,chalimus,1.2355302,1.2218462,1.2531429,"chalimus",1.2355302,1.2218462,1.2531429
"325",May 02 18,motile,0.1697344,0.1671208,0.1750484,"motile",0.1697344,0.1671208,0.1750484
"374",Apr 10 19,motile,0.0000000,0.0000000,0.0000000,"motile",0.0000000,0.0000000,0.0000000
"377",May 01 19,motile,0.1669157,0.1628856,0.1761667,"motile",0.1669157,0.1628856,0.1761667
"487",May 02 18,total,2.4956879,2.4567131,2.5203252,"total",2.4956879,2.4567131,2.5203252
"536",Apr 10 19,total,0.8432378,0.8366786,0.8770588,"total",0.8432378,0.8366786,0.8770588
"539",May 01 19,total,1.9042416,1.8937500,1.9339259,"total",1.9042416,1.8937500,1.9339259
